0.221,-43,-472,-232
0.237,-43,-468,-234
0.272,-41,-467,-233
0.287,-41,-470,-228
0.318,-40,-472,-222
0.332,-40,-468,-227
0.345,-44,-462,-238
0.377,-48,-457,-243
0.393,-48,-459,-239
0.421,-46,-464,-235
0.512,-49,-466,-239
0.528,-41,-463,-236
0.544,-41,-478,-237
0.58,-45,-486,-236
0.597,-48,-486,-230
0.633,-46,-477,-227
0.668,-42,-463,-233
0.708,-39,-463,-241
0.767,-42,-466,-240
0.783,-42,-463,-242
0.818,-34,-466,-232
0.835,-31,-468,-226
0.91,-53,-482,-224
0.996,-54,-479,-240
1.013,-49,-474,-238
1.028,-49,-482,-234
1.053,-54,-468,-234
1.076,-51,-469,-231
1.093,-45,-475,-231
1.126,-46,-472,-236
1.202,-50,-482,-236
1.244,-43,-473,-231
1.261,-37,-471,-229
1.293,-34,-468,-231
1.34,-32,-471,-235
1.353,-36,-474,-233
1.384,-38,-473,-233
1.397,-37,-473,-232
1.44,-38,-476,-228
1.488,-43,-487,-230
1.504,-43,-490,-225
1.543,-52,-485,-219
1.561,-52,-485,-217
1.634,-59,-485,-229
1.651,-46,-470,-227
1.681,-38,-474,-227
1.697,-37,-476,-232
1.729,-38,-476,-228
1.777,-39,-483,-221
1.841,-38,-484,-223
1.855,-34,-486,-219
1.888,-29,-481,-219
1.904,-31,-475,-219
1.938,-31,-474,-218
1.974,-43,-479,-225
2.03,-37,-481,-228
2.046,-36,-479,-222
2.079,-38,-480,-223
2.174,-39,-481,-228
2.215,-42,-477,-224
2.273,-41,-473,-228
2.291,-38,-473,-237
2.327,-39,-477,-241
2.344,-39,-477,-238
2.381,-40,-473,-237
2.396,-40,-473,-236
2.412,-40,-475,-236
2.449,-42,-476,-240
2.477,-41,-468,-243
2.509,-40,-465,-232
2.559,-41,-474,-233
2.574,-43,-476,-237
2.607,-41,-478,-241
2.622,-38,-476,-242
2.652,-36,-470,-241
2.707,-41,-474,-244
2.755,-41,-474,-245
2.769,-38,-465,-240
2.8,-38,-463,-239
2.813,-37,-462,-244
2.848,-36,-466,-240
2.906,-38,-471,-233
2.945,-44,-466,-238
2.965,-44,-463,-243
3.005,-41,-467,-247
3.042,-40,-478,-244
3.097,-43,-473,-233
3.149,-39,-474,-241
3.165,-44,-476,-242
3.199,-46,-479,-245
3.22,-45,-480,-240
3.295,-41,-472,-238
3.315,-41,-474,-242
3.349,-40,-480,-243
3.366,-40,-478,-241
3.446,-43,-481,-237
3.463,-40,-481,-240
3.499,-38,-477,-240
3.518,-39,-475,-232
3.588,-41,-476,-235
3.632,-40,-477,-233
3.649,-44,-481,-226
3.682,-44,-470,-234
3.699,-39,-471,-233
3.734,-37,-474,-226
3.786,-43,-476,-238
3.827,-42,-479,-228
3.89,-42,-487,-225
3.928,-48,-482,-231
3.944,-41,-482,-229
3.959,-38,-481,-222
3.998,-35,-481,-219
4.122,-41,-480,-221
4.172,-38,-478,-231
4.187,-39,-478,-232
4.214,-39,-479,-230
4.227,-40,-474,-229
4.266,-42,-469,-235
